f_id,f_ori_name,f_eng_name,sci_name,langual,foodexcode,mainlevelcode,codlevel1,namelevel1,codsublevel,codlevel2,namelevel2,f_des_esp,f_des_ing,photo,edible_portion,f_origen,ALC,ALC_unit,ENERC,ENERC_unit,FAT,FAT_unit,PROT,PROT_unit,WATER,WATER_unit,CHO,CHO_unit,FIBT,FIBT_unit,STARCH,STARCH_unit,SUCS,SUCS_unit,SUGAR,SUGAR_unit,CHORL,CHORL_unit,F12:0,F12:0_unit,F14:0,F14:0_unit,F16:0,F16:0_unit,F18:0,F18:0_unit,F18:1CN9,F18:1CN9_unit,F18:2,F18:2_unit,F18:3,F18:3_unit,F20:4N6,F20:4N6_unit,F20:5,F20:5_unit,F22:6N3,F22:6N3_unit,FAMS,FAMS_unit,FAPU,FAPU_unit,FASAT,FASAT_unit,FATRS,FATRS_unit,BIOT,BIOT_unit,FOL,FOL_unit,NIAEQ,NIAEQ_unit,PANTAC,PANTAC_unit,RIBF,RIBF_unit,THIA,THIA_unit,VITA,VITA_unit,VITB12,VITB12_unit,VITB6,VITB6_unit,VITC,VITC_unit,VITD,VITD_unit,VITE,VITE_unit,CA,CA_unit,CU,CU_unit,FE,FE_unit,ID,ID_unit,K,K_unit,MG,MG_unit,NA,NA_unit,P,P_unit,SE,SE_unit,ZN,ZN_unit
680,"Bacón, ahumado, a la parrilla","Bacon, smoked, grilled",,A0279 A0459 A0633 A0666 A0714 A0726 A0799 B1136 C0269 E0150 F0014 G0006 H0172 H0173 H0253 J0106 K0003 M0001 N0001 P0024,,,,,,,,,,,1.000000,BEDCA,0,g,1215.5,kJ,22.1,g,23.4,g,50.5,g,0,g,0,g,0,g,,,0,g,80,mg,,,,,,,,,,,,,,,,,,,,,9.3,g,2.9,g,8.3,g,,,5,ug,2,ug,7,mg,1.22,mg,0.16,mg,0.9,mg,0,ug,1,ug,0.46,mg,,mg,0.6,ug,0.07,mg,7,mg,0.06,mg,0.7,mg,7,ug,330,mg,21,mg,1760,mg,190,mg,12,ug,2.2,mg
681,"Café, con leche","Coffee infusion, with milk",,A0268 A0465 A0639 A0663 A0710 A0845 B1305 C0155 E0123 F0014 G0012 H0148 H0184 J0003 K0003 M0001 N0001 P0024 R0212 R0497 Z0109,,,,,,,,,,,1.000000,BEDCA,0,g,158.069,kJ,2.36538,g,1.7,g,94,g,2.45,g,0,g,0.15,g,,,2.3,g,8,mg,,,,,,,,,,,,,,,,,,,,,0.6235,g,0.0656,g,1.2032,g,,,,,1.66,ug,0.7,mg,,,0.08,mg,0.02,mg,15.8333,ug,0.1,ug,0.01,mg,0.5,mg,0.01,ug,0.04,mg,55,mg,,,0.05,mg,17.4,ug,90,mg,8,mg,23,mg,42,mg,2.8,ug,0.18,mg
682,"Bacon, crudo, con grasa separable","Bacon, raw, with separable fat",,A0279 A0459 A0633 A0666 A0714 A0726 A0797 B1136 C0269 E0150 F0003 G0003 H0173 H0253 J0103 K0003 M0001 N0001 P0024 R0212 R0495 Z0112,,,,,,,,,,,1.000000,BEDCA,0,g,2276.93,kJ,57.5,g,8.7,g,33.7,g,0.09,g,0,g,,,,,,,100,mg,,,,,,,,,,,,,,,,,,,,,26.33,g,6.75,g,21.26,g,,,,mg,2,ug,1.8,mg,0.35,mg,0.11,mg,0.36,mg,0.01,ug,0.8,ug,0.3,mg,0,mg,0.01,ug,0.23,mg,13,mg,0.06,mg,1.2,mg,1.2,ug,160,mg,12,mg,680,mg,108,mg,25,ug,1.8,mg
683,"Batido lácteo de cacao, bajo en calorías","Milk shake, cacao, light",,A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0018 G0003 H0231 H0247 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112,,,,,,,,,,,1.000000,BEDCA,0,g,201.2,kJ,1.9,g,3.1,g,90.4,g,4.6,g,0,g,,,,,,,0,mg,,,,,,,,,,,,,,,,,,,,,0,g,0.1,g,0.3,g,,,,,21.1,ug,1.3,mg,,,0.18,mg,0.1,mg,70.3,ug,0.36,ug,0.15,mg,4.2,mg,0.3,ug,0.7,mg,110,mg,,,1.1,mg,10.6,ug,180.7,mg,24.6,mg,88.3,mg,95,mg,3.7,ug,0.9,mg
685,"Batido lácteo, de fresa, bajo en calorías","Milk shake, strawberry, light",,A0148 A0452 A0626 A0721 A0724 A0774 A0780 B1201 C0235 E0123 F0014 G0003 H0247 H0395 J0123 K0003 M0001 N0001 P0024 P0034 R0212 R0497 Z0112,,,,,,,,,,,1.000000,BEDCA,0,g,466.48,kJ,0.34,g,3.8,g,72.9,g,22.9,g,1.6,g,,,4.3,g,,,3.4,mg,,,,,,,,,,,,,,,,,,,,,0,g,0.1,g,0.3,g,,,,,21.1,ug,1.3,mg,,,0.13,mg,0.1,mg,70.3,ug,0.2,ug,0.15,mg,4.2,mg,0.3,ug,0.7,mg,111.6,mg,,,1.1,mg,10.6,ug,180.7,mg,24.6,mg,88.3,mg,52.8,mg,3.7,ug,0.9,mg
686,"Cabrito, parte s/e, crudo, con grasa separable","Kid, part n/e, raw, with separable fat",,A0150 A0459 A0633 A0714 A0726 A0737 A0794 B2702 C0269 E0152 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0018 Z0112,,,,,,,,,,,0.700000,BEDCA,0,g,476.1,kJ,4,g,19.3,g,76.7,g,,g,0,g,,,,,,,56,mg,,,,,,,,,,,,,,,,,,,,,2.2,g,0.3,g,1.5,g,,,,,5,ug,6,mg,,,0.1,mg,0.32,mg,0,ug,2,ug,0.3,mg,0,mg,0.4,ug,0.09,mg,9,mg,,,0.9,mg,5,ug,385,mg,22,mg,82,mg,220,mg,1,ug,2,mg
687,Callos de ternera,"Tripe, veal, raw",,A0150 A0459 A0633 A0716 A0726 A0739 A0796 B1201 C0212 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0112,,,,,,,,,,,1.000000,BEDCA,0,g,396.2,kJ,3.95,g,14.56,g,80,g,0,g,0,g,,,,,,,95,mg,0.007,g,0.121,g,0.861,g,0.839,g,0.919,g,0.06,g,0.018,g,0.023,g,0.006,g,0.001,g,1.31,g,0.07,g,2.03,g,0.1872,g,,ug,2,ug,0.06,mg,0.56,mg,0.17,mg,0.01,mg,0,ug,1.54,ug,0.04,mg,,mg,,ug,0.08,mg,9,mg,0.09,mg,1.95,mg,,ug,270,mg,8,mg,46,mg,79,mg,45.6,ug,2.47,mg
688,"Cerdo, lomo, asado","Pork, loin, roasted",,A0150 A0459 A0633 A0714 A0726 A0737 A0799 B1136 C0269 E0150 F0014 G0005 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0031 Z0112,,,,,,,,,,,1.000000,BEDCA,0,g,987.016,kJ,14.2707,g,27,g,56.1,g,0,g,0,g,0,g,,,0,g,75,mg,,,,,,,,,,,,,,,,,,,,,6.5,g,1.6,g,5.5,g,,,,,4,ug,4.2,mg,,,0.3,mg,0.52,mg,,ug,0.8,ug,0.36,mg,,mg,,ug,0.1,mg,12,mg,,,1.1,mg,3,ug,290,mg,20,mg,60,mg,170,mg,20,ug,2.4,mg
689,"Cerdo, pierna, cruda, con grasa separable","Pork, leg, raw, with separable fat",,A0150 A0459 A0633 A0714 A0726 A0737 A0794 B1136 C0269 E0150 F0003 G0001 H0001 J0001 K0003 M0001 N0001 P0024 R0212 R0497 Z0024 Z0112,,,,,,,,,,,0.750000,BEDCA,0,g,885.4,kJ,15.2,g,19,g,65.8,g,0,g,0,g,,,,,,,63,mg,,,,,,,,,,,,,,,,,,,,,6.4,g,2.5,g,5.1,g,,,3,ug,5,ug,8.7,mg,1.32,mg,0.2,mg,0.89,mg,0.1,ug,1,ug,0.45,mg,0,mg,0.01,ug,0,mg,8,mg,0.02,mg,1.5,mg,5,ug,370,mg,22,mg,80,mg,230,mg,12,ug,2.5,mg
691,Queso afuega'l pitu,"Cheese, ""afuega'l pitu"" type",,A0313 A0452 A0626 A0720 A0724 A0776 B1201 C0245 E0146 F0018 G0003 H0107 H0289 H0298 J0131 K0003 M0001 N0001 P0024 R0212 R0497 Z0073 Z0112,,,,,,,,"Se produce en una amplia zona ubicada en las cuencas bajas de los ríos Nalón y Narcea, en la parte centroccidental de Asturias. principalmente en las poblaciones de Candamo, Cudillero, Grado, Pravia, Salas, Las Regueras, Yermes, Tameza, Morcín y Riosa. Queso fresco o madurado, de tierno a semicurado, elaborado con leche de vaca. De coagulación láctica y de pasta blanda con corteza enmohecida. opcionalmente pimentonado en su interior. De semigraso a graso. Se presenta en dos formatos: troncocónica el elaborado con molde, y globosa irregular el moldeado con gasa o con tela. En cualquier caso, el tamaño es muy pequeño. La variedad roja siempre es de forma globosa. De corteza suave, ligera, pringosa y normalmente enmohecida, de color amarillento con manchas blanquecinas y/o azuladas. El interior es continuo, sin ojos, pero de textura laminar o granulada y de color amarillento. La pasta puede ser de corta y friable a blanda y untuosa para los más enmohecidos. El sabor es láctico, nada salado y entre suave y proteolizado, de gran personalidad. Al paladar resulta poco graso y se pega a la faringe. El rojo del Aramo no tiene corteza defina y se trata de una masa granulosa pero compacta, de color anaranjada rojizo. De sabor muy fuerte y picante que predomina sobre cualquier otro atributo. Peso rara vez sobrepasa el medio kilo",,./foodimages/f1.jpg,1.000000,BEDCA,0,g,1955.98,kJ,40.56,g,26.78,g,27.8,g,,g,0,g,,,,,,,100,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ug,3.05,mg,,,0.3,mg,0.04,mg,239.08,ug,1.55,ug,0.09,mg,0,mg,0.25,ug,0.6,mg,1311.66,mg,650,mg,1.5,mg,,,1410.24,mg,122.75,mg,5882.5,mg,3001.93,mg,,,4.91,mg
